description,population,start_date,end_date,location,zones,annee_scolaire
Vacances d'Été,Enseignants,2020-07-03 22:00:00+00:00,2020-08-30 22:00:00+00:00,Versailles,Zone C,2019-2020
Vacances de la Toussaint,-,2020-10-16 22:00:00+00:00,2020-11-01 23:00:00+00:00,Versailles,Zone C,2020-2021
Vacances de Noël,-,2020-12-18 23:00:00+00:00,2021-01-03 23:00:00+00:00,Paris,Zone C,2020-2021
Vacances d'Hiver,-,2021-02-12 23:00:00+00:00,2021-02-28 23:00:00+00:00,Toulouse,Zone C,2020-2021
Pont de l'Ascension,-,2021-05-12 22:00:00+00:00,2021-05-16 22:00:00+00:00,Créteil,Zone C,2020-2021
Pont de l'Ascension,-,2021-05-12 22:00:00+00:00,2021-05-16 22:00:00+00:00,Toulouse,Zone C,2020-2021
Pont de l'Ascension,-,2021-05-12 22:00:00+00:00,2021-05-16 22:00:00+00:00,Versailles,Zone C,2020-2021
Vacances d'Été,Élèves,2021-07-05 22:00:00+00:00,2021-09-01 22:00:00+00:00,Montpellier,Zone C,2020-2021
Vacances d'Été,Élèves,2021-07-05 22:00:00+00:00,2021-09-01 22:00:00+00:00,Paris,Zone C,2020-2021
Vacances d'Été,Enseignants,2021-07-05 22:00:00+00:00,2021-08-31 22:00:00+00:00,Versailles,Zone C,2020-2021
Vacances de Noël,-,2021-12-17 23:00:00+00:00,2022-01-02 23:00:00+00:00,Montpellier,Zone C,2021-2022
Vacances de Noël,-,2021-12-17 23:00:00+00:00,2022-01-02 23:00:00+00:00,Toulouse,Zone C,2021-2022
Vacances de Noël,-,2021-12-17 23:00:00+00:00,2022-01-02 23:00:00+00:00,Versailles,Zone C,2021-2022
Vacances de Printemps,-,2022-04-22 22:00:00+00:00,2022-05-08 22:00:00+00:00,Paris,Zone C,2021-2022
Pont de l'Ascension,-,2022-05-25 22:00:00+00:00,2022-05-29 22:00:00+00:00,Paris,Zone C,2021-2022
Vacances d'Été,Élèves,2022-07-06 22:00:00+00:00,2022-08-31 22:00:00+00:00,Créteil,Zone C,2021-2022
Vacances de la Toussaint,-,2022-10-21 22:00:00+00:00,2022-11-06 23:00:00+00:00,Versailles,Zone C,2022-2023
Vacances de Noël,-,2022-12-16 23:00:00+00:00,2023-01-02 23:00:00+00:00,Créteil,Zone C,2022-2023
Vacances de Noël,-,2022-12-16 23:00:00+00:00,2023-01-02 23:00:00+00:00,Montpellier,Zone C,2022-2023
Vacances d'Été,Élèves,2023-07-07 22:00:00+00:00,2023-09-03 22:00:00+00:00,Toulouse,Zone C,2022-2023
Vacances d'Été,Enseignants,2023-07-07 22:00:00+00:00,2023-08-31 22:00:00+00:00,Toulouse,Zone C,2022-2023
Vacances de la Toussaint,-,2023-10-20 22:00:00+00:00,2023-11-05 23:00:00+00:00,Créteil,Zone C,2023-2024
Vacances d'Hiver,-,2024-02-09 23:00:00+00:00,2024-02-25 23:00:00+00:00,Montpellier,Zone C,2023-2024
